variant,epsilon,rep,spearman_rho,spearman_p,qini_coef,auuc,n_synth,treat_ratio_synth,conv_rate_synth,is_degenerate
size_100,0.1,7,0.35825448841941077,0.0,-5.7847700006018385,0.05421625211537871,44835,0.6608676257388201,0.004728448756551801,1
size_100,0.1,8,0.524367619586818,0.0,-3.0523476018977362,0.05278773135744982,44867,0.6622239062116924,0.01152294559475784,1
size_100,0.1,9,0.09899301630875446,5.109578790141545e-43,19.274517881893303,0.052534461792143265,44862,0.6665552137666622,0.012727921180509116,0
size_100,0.5,0,0.3598354180350856,0.0,11.235806156821695,0.05281248867810859,44798,0.6663243894816733,0.009643287646769945,0
size_100,0.5,1,0.3323785951191396,0.0,1.6498136724624146,0.051733220765487496,44817,0.6663319722426758,0.008880558716558448,0
size_100,0.5,2,0.3716903547592644,0.0,6.681337305610896,0.052214624730830383,44789,0.6670164549331309,0.008618187501395431,0
size_100,0.5,3,0.4118858028968045,0.0,4.887996316444855,0.05178129197559436,44789,0.6670611087543816,0.008685168233271562,0
size_100,0.5,4,0.367875678649318,0.0,-6.552725572799886,0.05032578855961495,44766,0.6673368181208953,0.008845999195818254,0
size_100,0.5,5,0.3986429807464247,0.0,9.986518125795897,0.052411277446752454,44766,0.6672921413572801,0.008622615377742036,0
size_100,0.5,6,0.37599827074971237,0.0,16.182076440022342,0.053755645152107734,44791,0.6680136634591771,0.009108972784711214,0
size_100,0.5,7,0.3403151590033561,0.0,5.276420635100635,0.0523221173260066,44795,0.6658332403169996,0.008058935149012167,0
size_100,0.5,8,0.37374017115463354,0.0,8.102051361828785,0.05213751387765531,44815,0.6663170813343746,0.008992524824277585,0
size_100,0.5,9,0.3806426593125363,0.0,12.34286143125496,0.05297055296320923,44815,0.6670088140131653,0.009037152739038268,0
size_100,1.0,0,0.38516257946930776,0.0,16.96352170381647,0.05348175574133511,44797,0.6666964305645467,0.00921936736835056,0
size_100,1.0,1,0.3393756912240755,0.0,3.1388392267349445,0.05192606355062208,44807,0.666681545294262,0.00903876626419979,0
size_100,1.0,2,0.3779041849455249,0.0,11.848921082646257,0.05253999774921733,44790,0.6670685420852869,0.008640321500334896,0
size_100,1.0,3,0.4046426289455254,0.0,8.514246806009169,0.05238093855097157,44795,0.6670610559214198,0.008416117870298024,0
size_100,1.0,4,0.37340345738450853,0.0,5.87598958410706,0.05186903587237481,44784,0.6672025723472669,0.008730796713111826,0
size_100,1.0,5,0.4003845749829383,0.0,8.794941209303715,0.05238823956776839,44787,0.6671802085426575,0.009065130506620224,0
size_100,1.0,6,0.3791271929469609,0.0,12.284962699314292,0.05305998958797845,44793,0.6676043131739334,0.00884066706851517,0
size_100,1.0,7,0.3472614801812661,0.0,11.219126969298827,0.0529365348466683,44799,0.666398803544722,0.008593941829058684,0
size_100,1.0,8,0.376221488693845,0.0,8.312089049475617,0.05223098325714914,44808,0.6666666666666666,0.008971612212104981,0
size_100,1.0,9,0.3777279422602391,0.0,12.530628932636887,0.05310167969675567,44807,0.6670609502979445,0.009194991853951392,0
size_100,2.0,0,0.38613902243085363,0.0,12.992974509829992,0.05297871384106072,44797,0.6668750139518271,0.00910775275130031,0
size_100,2.0,1,0.3528233197061704,0.0,4.6051630747055015,0.05166662306248601,44804,0.6668824212123917,0.009039371484688866,0
size_100,2.0,2,0.3833194643314918,0.0,9.029781918216031,0.05262572612319107,44792,0.6671057331666369,0.008729237363814967,0
size_100,2.0,3,0.3964887117265811,0.0,8.503590137265519,0.05226987029305735,44797,0.6670535973391075,0.008683617206509365,0
size_100,2.0,4,0.37557589092403243,0.0,8.831395271572319,0.05232304310038712,44790,0.6671801741460147,0.008863585621790578,0
size_100,2.0,5,0.3911224691600118,0.0,6.914132984781986,0.05205075690394668,44791,0.6671429528253444,0.009019669129959143,0
size_100,2.0,6,0.3792548765900132,0.0,13.553312658937557,0.05277609218934307,44796,0.6673363693186891,0.008951692115367444,0
size_100,2.0,7,0.3865771249948707,0.0,9.824791920569169,0.05252072155554056,44799,0.6667336324471529,0.008772517243688474,0
size_100,2.0,8,0.38077406406631337,0.0,10.388788609122003,0.05241117801095471,44804,0.6669047406481564,0.008972413177394875,0
size_100,2.0,9,0.3820823357772334,0.0,11.929821708741201,0.05265258140170737,44803,0.6670535455215053,0.009106533044662187,0
size_100,5.0,0,0.3865013981739244,0.0,9.934341724782485,0.05267607154766649,44799,0.6670014955690975,0.009062702292461885,0
size_100,5.0,1,0.37395664891833863,0.0,9.786442922485207,0.05230555165837133,44801,0.6670163612419365,0.009017655855896074,0
size_100,5.0,2,0.3856230263639874,0.0,11.158714164098228,0.052921520461251745,44796,0.6671131351013483,0.008907045271899276,0
size_100,5.0,3,0.3922865079569531,0.0,11.541660054455974,0.052478451448990646,44798,0.6670833519353543,0.008884325193088977,0
size_100,5.0,4,0.37461294048122434,0.0,10.335692882811827,0.05231856335253024,44795,0.6671503516017413,0.008951891952226811,0
