variant,epsilon,rep,spearman_rho,spearman_p,qini_coef,auuc,n_synth,treat_ratio_synth,conv_rate_synth,is_degenerate
size_50,inf,0,-0.2612861651174605,3.59992599120203e-297,-24.0012195131485,0.05645273635199131,22399,0.6670833519353543,0.00901825974373856,0
size_50,inf,1,-0.25314498973791855,1.8472686671748074e-278,-20.6903163620359,0.05697087576159288,22400,0.6670089285714286,0.0090625,0
size_50,inf,2,-0.259359453210686,1.1101032494200425e-292,-29.336983534227272,0.05574576605071037,22399,0.6670387070851377,0.009062904593955087,0
size_50,inf,3,-0.23233348449374236,1.1642011503090027e-233,-24.964541091729984,0.05680122331866213,22399,0.6670833519353543,0.00901825974373856,0
size_50,inf,4,-0.24901231085325784,3.2143796287554915e-269,-23.846697816367907,0.05655114787274444,22399,0.6670833519353543,0.00901825974373856,0
size_50,inf,5,-0.23873411612973683,5.5767090925415634e-247,-22.637184675722835,0.05714761250676183,22399,0.6670387070851377,0.00901825974373856,0
size_50,inf,6,-0.2571366826737584,1.5034592311149685e-287,-21.53200557536394,0.05696952795074573,22399,0.6670387070851377,0.009062904593955087,0
size_50,inf,7,-0.23997104979335201,1.3355890634029016e-249,-26.32758155689612,0.05674004586516712,22400,0.6670535714285715,0.0090625,0
size_50,inf,8,-0.2316132642086962,3.4639523305623115e-232,-24.739644105412765,0.05692693998711349,22400,0.6670535714285715,0.008973214285714286,0
size_50,inf,9,-0.2484830393327427,4.765457141456e-268,-23.502626252834773,0.05661736186969377,22400,0.6670535714285715,0.009017857142857143,0
size_75,0.1,0,0.15957578849412474,1.0605837725772838e-109,23.69103165340198,0.05374292532949369,33555,0.6631500521531813,0.012427358068842199,0
