variant,epsilon,rep,spearman_rho,qini_coef,is_degenerate
imbalance_10,1.0,4,0.16517184769706472,11.70561890683166,0
imbalance_10,1.0,5,0.18547253384368578,10.55284127020127,0
imbalance_10,1.0,6,0.22689720867112195,15.01520873609195,0
imbalance_10,1.0,7,0.171068277728295,14.204457633253242,0
imbalance_10,1.0,8,0.14141238618265725,9.242934054826492,0
imbalance_10,1.0,9,0.20876082910165641,14.918679579956006,0
imbalance_10,2.0,0,0.14973638275061843,8.539143635978462,0
imbalance_10,2.0,1,0.23414550533985112,6.102931600165562,0
imbalance_10,2.0,2,0.14826219775347327,8.670700962086471,0
imbalance_10,2.0,3,0.19008601055086347,15.218604767514762,0
imbalance_10,2.0,4,0.215540750827221,18.143879099342712,0
imbalance_10,2.0,5,0.19763096857285067,12.666126224301252,0
imbalance_10,2.0,6,0.2277472442943612,6.668804462792764,0
imbalance_10,2.0,7,0.19425357321778247,14.997272511939173,0
imbalance_10,2.0,8,0.16261971376866738,14.261268184230971,0
imbalance_10,2.0,9,0.194954439307769,8.726010573804388,0
imbalance_10,5.0,0,0.1720788820029178,11.662129191783379,0
imbalance_10,5.0,1,0.2314522077161137,7.314902528848165,0
imbalance_10,5.0,2,0.18639334395032475,12.767758573920105,0
imbalance_10,5.0,3,0.18939080875597838,11.347476037739398,0
imbalance_10,5.0,4,0.20551456625771386,16.692433311783475,0
imbalance_10,5.0,5,0.22050646368956273,13.905508056213307,0
imbalance_10,5.0,6,0.17883947258101168,2.656212207795761,0
imbalance_10,5.0,7,0.2021237189384414,16.498812147289186,0
imbalance_10,5.0,8,0.19088352241080767,15.363745593922545,0
imbalance_10,5.0,9,0.1984351575773712,8.164377864585617,0
imbalance_10,10.0,0,0.16487249671865367,9.03469749429155,0
imbalance_10,10.0,1,0.23354778674569598,8.768449631371027,0
imbalance_10,10.0,2,0.15119775499726737,8.018223904177603,0
imbalance_10,10.0,3,0.2138766099887057,15.954383954334162,0
imbalance_10,10.0,4,0.2072971694741999,15.924571548289236,0
imbalance_10,10.0,5,0.21372979082803056,14.028134793726394,0
imbalance_10,10.0,6,0.2448680461487193,13.427834136831052,0
imbalance_10,10.0,7,0.20049760761190125,13.269278665790125,0
imbalance_10,10.0,8,0.19270083954844813,14.59201891183477,0
imbalance_10,10.0,9,0.20086794463884675,8.065015685597018,0
imbalance_10,inf,0,0.1731610595801346,10.233197493118837,0
imbalance_10,inf,1,0.23102056652010597,7.736460081660539,0
imbalance_10,inf,2,0.204258253862868,14.70102462556656,0
imbalance_10,inf,3,0.21100439005922442,13.71186812997837,0
imbalance_10,inf,4,0.20779519821610973,15.962826737669388,0
imbalance_10,inf,5,0.19953925163831263,15.220049421552176,0
imbalance_10,inf,6,0.2101955170603344,6.569648662952318,0
imbalance_10,inf,7,0.20504039515956946,15.317385332540312,0
